airport1,airport2
CYLW,CYYZ
CYLW,CYYC
CYLW,CYVR
CYLW,CYXS
CYLW,CYYJ
CYLW,CYEG
CYVR,CYYJ
CYVR,CYYC
CYVR,CYLW
CYVR,CYZP
CYVR,CYYZ
CYVR,CYHZ
CYVR,CYEG
CYVR,CYWG
CYVR,CYQR
CYVR,CYUL
CYVR,CYKA
CYVR,CYOW
CYVR,CYXE
CYVR,CYXS
CYVR,CYZF
CYVR,CYXY
CYYZ,CYWG
CYYZ,CYYJ
CYYZ,CYXU
CYYZ,CYOW
CYYZ,CYQM
CYYZ,CYYT
CYYZ,CYFC
CYYZ,CYDF
CYYZ,CYZF
CYYZ,CYYG
CYYZ,CYVR
CYYZ,CYLW
CYYZ,CYQT
CYYZ,CYQB
CYYZ,CYQR
CYYZ,CYXE
CYYZ,CYEG
CYYZ,CYHZ
CYYZ,CYUL
CYYZ,CYYC
CYUL,CYQB
CYUL,CYYJ
CYUL,CYHZ
CYUL,CYYT
CYUL,CYYC
CYUL,CYQR
CYUL,CYOW
CYUL,CYYZ
CYUL,CYVR
CYUL,CYWG
CYUL,CYQM
CYUL,CYFC
CYUL,CYEG
CYUL,CYDF
CYUL,CYYG
CYYC,CYXE
CYYC,CYYZ
CYYC,CYVR
CYYC,CYMM
CYYC,CYWG
CYYC,CYYJ
CYYC,CYLW
CYYC,CYYG
CYYC,CYQT
CYYC,CYXU
CYYC,CYHZ
CYYC,CYKA
CYYC,CYQM
CYYC,CYQU
CYYC,CYOW
CYYC,CYZF
CYYC,CYXS
CYYC,CYUL
CYYC,CYEG
CYYC,CYQR
CYYC,CYYT
CYEG,CYZF
CYEG,CYLW
CYEG,CYXY
CYEG,CYMM
CYEG,CYYZ
CYEG,CYHZ
CYEG,CYVR
CYEG,CYUL
CYEG,CYQR
CYEG,CYXE
CYEG,CYYJ
CYEG,CYQU
CYEG,CYXS
CYEG,CYYC
CYEG,CYWG
CYEG,CYOW
CYOW,CYYZ
CYOW,CYQM
CYOW,CYQT
CYOW,CYYJ
CYOW,CYUL
CYOW,CYEG
CYOW,CYYG
CYOW,CYYC
CYOW,CYWG
CYOW,CYFC
CYOW,CYHZ
CYOW,CYQB
CYOW,CYYT
CYOW,CYFB
CYOW,CYVR
CYYT,CYUL
CYYT,CYHZ
CYHZ,CYWG
CYZF,CYYZ
CYQB,CYOW
CYWG,CYQT
CYYJ,CYYZ
CYXE,CYEG
CYHZ,CYDF
CYKA,CYVR
CYWG,CYYC
CYQR,CYYZ
CYQT,CYYZ
CYKA,CYYJ
CYWG,CYFB
CYYG,CYYZ
CYQU,CYYC
CYHZ,CYYT
CYMM,CYEG
CYFC,CYYZ
CYHZ,CYUL
CYDF,CYUL
CYXE,CYWG
CYYT,CYYZ
CYWG,CYOW
CYWG,CYEG
CYYG,CYUL
CYYJ,CYKA
CYYJ,CYYC
CYQB,CYUL
CYQT,CYYC
CYXE,CYUL
CYQM,CYYC
CYHZ,CYYZ
CYXU,CYYZ
CYDF,CYYZ
CYQR,CYXE
CYFB,CYYC
CYZF,CYVR
CYDF,CYYT
CYQM,CYOW
CYDF,CYHZ
CYZP,CYVR
CYQB,CYYZ
CYYJ,CYVR
CYXE,CYYZ
CYWG,CYUL
CYQR,CYVR
CYFB,CYOW
CYZF,CYYC
CYFC,CYUL
CYHZ,CYYC
CYXU,CYYC
CYQU,CYEG
CYQR,CYYC
CYXY,CYVR
CYFB,CYVM
CYYG,CYYC
CYWG,CYYZ
CYYT,CYQM
CYZF,CYEG
CYYT,CYYC
CYYJ,CYOW
CYXY,CYYC
CYYJ,CYEG
CYQT,CYOW
CYQM,CYUL
CYHZ,CYVR
CYQR,CYEG
CYWG,CYHZ
CYFC,CYOW
CYMM,CYYC
CYYJ,CYXS
CYYT,CYOW
CYDF,CYQM
CYXY,CYEG
CYQT,CYWG
CYXE,CYVR
CYQM,CYYZ
CYYJ,CYLW
CYWG,CYXE
CYKA,CYYC
CYHZ,CYOW
CYYJ,CYUL
CYHZ,CYEG
CYXE,CYYC
CYYT,CYDF
CYWG,CYQR
CYYG,CYOW
CYWG,CYVR
